,image_name,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
72,screenshot_2015_10_11_18_16_31.png,0.2329303671388844;-0.0020531186278372592;-0.9724912486847604;-0.0020458808997974604;0.9999945240207019;-0.002601211247438603;0.9724912639380822;0.0025955023617760032;0.23292489118083035,35.815950304029315;-0.5241033171705104;44.296260522871975,1134.6837886389555;0.0;480.0;0.0;1134.6837886389555;270.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
73,070313_img_6187_syria_palmyra_roman_ruins_999x.png,0.9084976726841755;-0.0234290205330784;-0.4172326206378133;0.02543565326753851;0.9996761795925985;-0.0007506650387622927;0.4171150995472238;-0.009930606829768932;0.908799415040361,-2.078286800872733;3.5080054023619263;109.89664813353964,4752.921341815255;0.0;499.5;0.0;4752.921341815255;333.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
74,screenshot_2015_10_11_18_16_38.png,0.6283268405873599;0.018768352712375928;-0.7777230421775934;0.007701989857673384;0.9995098679892108;0.030343090554903328;0.7779113450450117;-0.02505539320494928;0.6278743238273139,16.56056530607016;-0.2482455127699092;8.720050620884086,1056.6164010896757;0.0;480.0;0.0;1056.6164010896757;270.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
75,1147302_palmyre_lei_detruit_le_temple_de_baalshamin_classe_au_patrimoine_de_lhumanite_web_tete_021277294556.png,0.9596147688759377;-0.06865634916970041;-0.27281092550312014;0.11928169776335744;0.9775737133000215;0.1735555001822143;0.2547771024520685;-0.19908777155690832;0.9462836188387879,2.2149972718053226;-4.103936977703666;-12.908652178057578,600.3312111429901;0.0;500.0;0.0;600.3312111429901;266.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
76,screenshot_2015_10_11_18_16_45.png,0.9084209317293306;0.07341706165640513;0.4115596504199054;-0.02524047715101319;0.99229486769647;-0.12130051053657737;-0.41729405592364277;0.09980396084817848;0.903274509930293,-32.59644595682515;0.5411943526086113;34.28709888653794,1052.5859646678466;0.0;480.0;0.0;1052.5859646678466;270.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
77,150824004238_baalshamin_temple_palmyra_exlarge_169_550x300.png,0.8751637543305781;0.03520089962674943;0.4825446091000035;-0.010608626324024536;0.9985061728320233;-0.05359925245619343;-0.4837105127589485;0.041788987566260274;0.8742298441283402,-15.668429843265844;1.4735212100945412;18.716896343129203,781.7222935849887;0.0;275.0;0.0;781.7222935849887;150.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
78,temple_of_ba_al_shamin_palmyra_syria.png,0.7114935771373769;-0.05347611479654113;-0.700654832880304;0.010156125390306178;0.9977784888342507;-0.06584026379576241;0.7026192018507009;0.03972898646965913;0.7104560963386674,14.93996813428129;0.044689643146197264;-5.69924903950708,2313.9033196584182;0.0;1018.0;0.0;2313.9033196584182;1500.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
79,182z.png,0.9637872379468597;-0.035054971344858674;-0.2643582965499188;0.05470987361645403;0.9962279313696292;0.0673553152161106;0.2609999802674998;-0.07937920220688244;0.9620696193921541,1.2501052814493185;0.3729572657109326;-2.0082341006757694,2224.7408733498028;0.0;877.0;0.0;2224.7408733498028;608.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
80,temple_of_ba_al_shamin_palmyra_syria.png,0.7114934016547894;-0.05348375371810413;-0.700654428009927;0.010154019731574968;0.9977776527906785;-0.06585325713140688;0.7026194099830915;0.03973969903944402;0.7104552913697435,14.939968046303463;0.04504033937958649;-5.699126908337749,2313.8720456077112;0.0;1018.0;0.0;2313.8720456077112;1500.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
81,19144401003_5d0dee05f5_o.png,0.2586322034673102;0.08349189004565705;0.9623608926105881;-0.21323443151397597;0.976616142446652;-0.027422391025078128;-0.9421467298391241;-0.1981161644319431;0.2703877305726352,-33.60379699680436;4.876527298174816;19.679067981959246,1698.9176028915551;0.0;960.0;0.0;1698.9176028915551;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
82,temple_of_baal_shamin_palmyra.png,0.9907455064494318;0.0010746186840285687;0.1357283560828133;-0.000791410414396279;0.9999973959135154;-0.0021405223064141256;-0.13573030287969967;0.0020132960220017437;0.9907437769268667,-10.451212363555586;0.8435347331912392;3.7048397061009903,2887.3869273143378;0.0;1446.0;0.0;2887.3869273143378;999.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
83,194d.png,0.995697629276777;0.0022328017440125677;-0.09263501308348895;0.0009034324928048586;0.9994282058071212;0.03380007761662391;0.0926575137932007;-0.0337383466330345;0.9951262779688477,-6.2774442446662295;0.8996857078786626;3.783842678156088,2496.6510204813367;0.0;920.0;0.0;2496.6510204813367;630.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
84,temple_of_baal_shamin_in_palmyra_2010.png,0.202499409010996;-0.0816208041604589;-0.9758750092498515;0.11889220425311263;0.991198124342572;-0.05823162429130315;0.9720383907634688;-0.10423206142050226;0.21042111171172712,29.039880400841074;1.270658554589793;8.255003375156791,2434.487913871837;0.0;1036.5;0.0;2434.487913871837;759.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
