,image_name,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
1968,00059.png,0.8067179393726958;-0.2134849658799879;-0.5510266197176794;0.34464644434861924;0.9274259941050532;0.14525788741444598;0.4800260354315438;-0.3070915088397499;0.8217480212975266,-14.88291718053739;13.608055413259224;16.1451299190146,2165.580454697178;0.0;384.0;0.0;2165.580454697178;512.0;0.0;0.0;1.0,church,church
1969,00058.png,-0.6590363658489289;-0.2997488026259459;-0.6897983211149102;0.06770136826135059;0.8897833955994146;-0.45133361679706163;0.7490578036601568;-0.3441455567632504;-0.5661062113560797,6.738865627366807;0.23159877490771819;8.531929621383975,2258.442115088994;0.0;384.0;0.0;2258.442115088994;512.0;0.0;0.0;1.0,church,church
1970,00057.png,0.007480335020056961;-0.4278291567594684;-0.9038286658512608;0.45461699236466857;0.8065001227428832;-0.37799595536065894;0.8906556207880184;-0.4080683332999469;0.20053129560373573,10.144492756574238;2.0070078433032714;4.677627247235552,405.23868649367375;0.0;512.0;0.0;405.23868649367375;384.0;0.0;0.0;1.0,church,church
1971,00056.png,0.8612659257473281;-0.2501769642750418;-0.4423036193529536;0.32254698505129514;0.9417329545974047;0.09540694240757414;0.39266327506009213;-0.22483444747495218;0.8917763305043005,-9.343116660890708;16.593833877527086;26.533082661200794,406.4516421167554;0.0;384.0;0.0;406.4516421167554;512.0;0.0;0.0;1.0,church,church
1972,00055.png,-0.25292643457992603;-0.39210087574724906;-0.8844688360416815;0.48580572173521697;0.7391146575617727;-0.46658581601530535;0.8366725879458532;-0.5476919081158529;0.0035432138525407497,6.14157096263891;4.60990007324231;9.350622302129267,715.256724617987;0.0;384.0;0.0;715.256724617987;512.0;0.0;0.0;1.0,church,church
1973,00054.png,0.7517157021473049;-0.28770899940306605;-0.5934197795891801;0.33256618924309833;0.9424066118455792;-0.03563015186691895;0.569493839227;-0.17056761009119684;0.8041041334741846,-15.387194174074327;12.544362624512287;25.489182586868377,752.7174844130532;0.0;384.0;0.0;752.7174844130532;512.0;0.0;0.0;1.0,church,church
1974,00053.png,-0.020439490659613924;-0.42624737968046794;-0.9043756954590889;0.684188915017327;0.6536186971515463;-0.3235245389477096;0.7290183507902859;-0.6253765026361722;0.27827409897718003,6.949060987620085;12.238255407630328;14.18867150667272,2235.060765043256;0.0;384.0;0.0;2235.060765043256;512.0;0.0;0.0;1.0,church,church
1975,00052.png,-0.338525464285933;-0.360115306515987;-0.8693201228793054;0.20934121435248298;0.871890256474479;-0.4427003915045648;0.9173749320770771;-0.33184988575825053;-0.2197700783064307,3.409931158701682;4.886819833689098;30.978156234663658,2226.5917873392245;0.0;384.0;0.0;2226.5917873392245;512.0;0.0;0.0;1.0,church,church
1976,00051.png,-0.17610984294233312;-0.3666524225852078;-0.9135378066786427;0.5315330579233979;0.7456971387881007;-0.4017566247591219;0.8285275683726093;-0.5563288399999036;0.0635632773772179,8.466435519166144;14.50089070162018;26.636248074015224,697.3449302523497;0.0;384.0;0.0;697.3449302523497;512.0;0.0;0.0;1.0,church,church
1977,00050.png,-0.08746591552408556;-0.33856539716741146;-0.9368688197727614;0.4443772956147766;0.8284529844850046;-0.34087310196022547;0.8915596069605393;-0.44613801041691326;0.077989376825355,10.22732504482016;11.158945012503194;28.394643026008215,698.5594423160045;0.0;384.0;0.0;698.5594423160045;512.0;0.0;0.0;1.0,church,church
1978,00049.png,0.022407212279357935;-0.39165039779829736;-0.9198412269203329;0.5059667544659957;0.7979849458447457;-0.3274410932981767;0.8622618860955265;-0.45807203812238295;0.21604269873659587,13.215345773786366;13.441182560162236;26.664033993982738,697.502735783199;0.0;384.0;0.0;697.502735783199;512.0;0.0;0.0;1.0,church,church
1979,00048.png,0.22451724834819653;-0.36723276936539995;-0.9026251150385598;0.5302620819046583;0.823170096454668;-0.2030101396407336;0.8175659787982201;-0.4330485947408577;0.3795454978058317,-0.5858455753647658;10.771746998713652;19.713497512381274,759.350130815787;0.0;384.0;0.0;759.350130815787;512.0;0.0;0.0;1.0,church,church
1980,00047.png,0.4428125873216321;-0.3657845295900335;-0.8186077756912159;0.31832700804112646;0.9176575451482063;-0.23784983873055787;0.8382033932531571;-0.15526206151267502;0.5227894067344209,-4.978500182975506;20.48093830592503;58.135888476598424,1256.115335959178;0.0;384.0;0.0;1256.115335959178;512.0;0.0;0.0;1.0,church,church
1981,00046.png,0.8183549030817906;-0.2752838789819062;-0.5044938439412995;0.2780245035064114;0.9578945921811046;-0.07169606488649635;0.5029886957497222;-0.08158882425228631;0.8604333999242028,-18.244318289244088;32.580714167232685;65.87795686909588,1236.8455596843867;0.0;384.0;0.0;1236.8455596843867;512.0;0.0;0.0;1.0,church,church
1982,00045.png,-0.1589534662045613;-0.3204155490532427;-0.9338456358020123;0.5696489298837126;0.7427802219027145;-0.3518204636352116;0.806370815607743;-0.5878872492877042;0.06445688373665226,17.042640302542193;17.194769097852337;31.88819175119175,401.68404478196993;0.0;512.0;0.0;401.68404478196993;384.0;0.0;0.0;1.0,church,church
1983,00044.png,0.10122914526758953;-0.33346414271726593;-0.9373122882317464;0.508848243791033;0.8269437915010289;-0.23924345443226708;0.8548836908838389;-0.4527313013474347;0.253393456586952,4.475619257013573;11.532215665290492;23.64630111453285,753.7601352435911;0.0;384.0;0.0;753.7601352435911;512.0;0.0;0.0;1.0,church,church
1984,00043.png,0.4271028552386653;-0.4267171442582006;-0.7971797976887683;0.3339076337295963;0.8937541359989779;-0.2995150021648702;0.8402909277054474;-0.13826070729186385;0.5242090552776365,10.997759957297822;20.583020515639333;61.090485535414125,1253.0307256960327;0.0;512.0;0.0;1253.0307256960327;384.0;0.0;0.0;1.0,church,church
1985,00042.png,0.2596114052238765;-0.41139787921255194;-0.8737011521436255;0.42983342655777373;0.8593885207526111;-0.27693789161514526;0.8647804020046286;-0.30364972481142394;0.3999396216063862,-0.9158030597431044;26.32138856593692;58.701737770985034,1254.1567697566788;0.0;512.0;0.0;1254.1567697566788;384.0;0.0;0.0;1.0,church,church
1986,00041.png,0.3866414921387178;-0.41936570161653386;-0.8213651836207926;0.3436801897286933;0.8919952522659405;-0.2936467216283381;0.8557992076093525;-0.16875093553131362;0.48901005921403207,-4.468310199950101;20.20973826745761;58.42781675256684,1245.170147767837;0.0;512.0;0.0;1245.170147767837;384.0;0.0;0.0;1.0,church,church
1987,00040.png,0.40676805476092504;-0.3156892394312398;-0.8572514530365863;0.48820664013962295;0.8682707538789539;-0.08809185252935561;0.7721360153169866;-0.3826829001481493;0.5073063884721025,11.44663878900083;10.888211996142175;20.58342750644135,401.2895324141198;0.0;512.0;0.0;401.2895324141198;384.0;0.0;0.0;1.0,church,church
1988,00039.png,0.46004926430855375;-0.37964418591574506;-0.8026362604003945;0.4158599392805445;0.8908266499811827;-0.1829983349238055;0.7844840248919926;-0.24959601716308424;0.5677029530534301,25.218385942585794;7.508488697208814;17.05973850553807,701.2114479690886;0.0;384.0;0.0;701.2114479690886;512.0;0.0;0.0;1.0,church,church
1989,00038.png,0.5929634223017021;-0.3565302711737184;-0.7219976077169842;0.3899689174344597;0.9116204552611182;-0.12989376037557443;0.704498845454873;-0.20453437678372421;0.6795933088740976,7.876947908965632;7.401695529773681;17.903098501155156,403.4566868608396;0.0;512.0;0.0;403.4566868608396;384.0;0.0;0.0;1.0,church,church
1990,00037.png,0.9066071445540932;0.13754161001333565;0.3989308097382466;-0.020143770420355436;0.9584168311521077;-0.2846601592734822;-0.42149461913140196;0.2500389635222714;0.8716781531987495,-3.130650479802941;-1.8030672824450236;-11.598316901423843,2219.170768741775;0.0;384.0;0.0;2219.170768741775;512.0;0.0;0.0;1.0,church,church
1991,00035.png,0.9932072653451659;-0.10012356473198707;0.059284060681912734;0.10236029452509597;0.9940968272185694;-0.035970379740967104;-0.05533261398409371;0.04179437640799734;0.9975928688249299,13.100486074612007;-1.625030730312581;-5.66415799934838,710.0297110541617;0.0;512.0;0.0;710.0297110541617;384.0;0.0;0.0;1.0,church,church
1992,00034.png,0.8760554941809978;-0.23612816436061151;-0.4204405559778644;0.18839064464519895;0.9702060361157354;-0.1523457006113357;0.44388707587116577;0.05425622065975833;0.8944386655295407,15.419812887875763;3.276879013203231;13.595808615020065,759.4233003844838;0.0;384.0;0.0;759.4233003844838;512.0;0.0;0.0;1.0,church,church
1993,00033.png,0.08267784641642684;-0.35374757018991676;-0.9316796822388433;0.4293914371115112;0.8562955859861391;-0.28702066677500043;0.8993260629200364;-0.376325027078169;0.22269285248377968,20.627100149420535;11.187824383298352;30.488891972432175,684.2096706749082;0.0;384.0;0.0;684.2096706749082;512.0;0.0;0.0;1.0,church,church
