image_id,camera_intrinsics,rotation_matrix,translation_vector
image_168.jpeg,1527.71728515625 0 968.8340454101562 0 715.7243041992188 0.011596234515309334 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_167.jpeg,1528.8497314453125 0 968.12939453125 0 715.4371337890625 0.008575230836868286 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_166.jpeg,1521.4927978515625 0 971.6842041015625 0 715.8607788085938 0.012196962721645832 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_165.jpeg,1527.257568359375 0 970.513671875 0 713.0115356445312 0.010862119495868683 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_164.jpeg,1526.99658203125 0 971.7794189453125 0 715.8109741210938 0.009647906757891178 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_163.jpeg,1526.863037109375 0 969.9957885742188 0 713.0267333984375 0.010338954627513885 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_162.jpeg,1527.8504638671875 0 974.7506103515625 0 713.1472778320312 0.009332476183772087 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_161.jpeg,1528.4041748046875 0 972.9649047851562 0 712.1312866210938 0.006640112493187189 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_160.jpeg,1525.5164794921875 0 965.6113891601562 0 724.0806274414062 0.006594800855964422 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_159.jpeg,1528.0537109375 0 964.892333984375 0 715.6002197265625 0.011728635057806969 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_158.jpeg,1526.0555419921875 0 966.6103515625 0 715.8694458007812 0.01505065057426691 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_157.jpeg,1528.9571533203125 0 967.7808837890625 0 717.0598754882812 0.009836318902671337 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_156.jpeg,1527.606689453125 0 967.5045776367188 0 719.6490478515625 0.013771978206932545 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_155.jpeg,1529.02392578125 0 967.53271484375 0 715.5576782226562 0.009081871248781681 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_154.jpeg,1530.1265869140625 0 968.3533935546875 0 717.2810668945312 0.010023745708167553 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
