image_id,camera_intrinsics,rotation_matrix,translation_vector
DSC_0388.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0387.JPG,3412.22998046875 0 3036.340087890625 0 3413.080078125 2016.1199951171875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0386.JPG,3410.300048828125 0 3028.969970703125 0 3411.699951171875 2008.239990234375 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0366.JPG,3412.139892578125 0 3035.610107421875 0 3413.090087890625 2019.4200439453125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0365.JPG,3412.22998046875 0 3036.340087890625 0 3413.080078125 2016.1199951171875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0364.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0363.JPG,3412.22998046875 0 3036.340087890625 0 3413.080078125 2016.1199951171875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0362.JPG,3412.22998046875 0 3036.340087890625 0 3413.080078125 2016.1199951171875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0361.JPG,3412.139892578125 0 3035.610107421875 0 3413.090087890625 2019.4200439453125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0360.JPG,3412.22998046875 0 3036.340087890625 0 3413.080078125 2016.1199951171875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0359.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0358.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0357.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0356.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0355.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0354.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0353.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0352.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0351.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0350.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0349.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0348.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0347.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0346.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0333.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0332.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0331.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0330.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0329.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0328.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0327.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0326.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0325.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0324.JPG,3414.659912109375 0 3036.639892578125 0 3413.3701171875 2015.47998046875 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0334.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0335.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0336.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0337.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0338.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
DSC_0339.JPG,3415.72998046875 0 3037.340087890625 0 3413.889892578125 2010.77001953125 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
